"","Sol","Ls","Date","TauFactor","SADustFactor","WhPredicted","WhMeasured","WhDiff","WhDiffPercentage"
"226",3703,150.610784762896,"24-JUN-2014",0.652,0.894,687.960664446001,743,-55.0393355539991,-7.40771676366071
"227",3710,154.195998521039,"1-JUL-2014",0.762,0.872,658.104587251138,745,-86.8954127488619,-11.6638137917935
"228",3717,157.870830055954,"8-JUL-2014",0.738,0.878,681.494818144738,735,-53.5051818552615,-7.27961657894715
"229",3730,165.307159806851,"22-JUL-2014",0.771,0.818,642.963681941313,676,-33.0363180586874,-4.88702929862239
"230",3738,169.635628890842,"30-JUL-2014",0.804,0.813,644.447693526847,686,-41.5523064731533,-6.05718753252964
"231",3744,172.934415417837,"5-AUG-2014",0.872,0.802,629.998539137807,686,-56.001460862193,-8.16347825979489
"232",3751,176.804214568473,"12-AUG-2014",0.811,0.789,638.357639337246,679,-40.6423606627541,-5.98562012706246
"233",3758,180.75275486702,"19-AUG-2014",0.888,0.788,631.861251382971,692,-60.1387486170293,-8.69057060939729
"234",3764,184.710649828921,"26-AUG-2014",0.858,0.753,610.468962712783,680,-69.5310372872168,-10.2251525422378
"235",3771,188.753469781226,"2-SEP-2014",0.852,0.771,636.593651989156,713,-76.4063480108443,-10.7161778416331
"236",3778,192.810559587546,"9-SEP-2014",0.879,0.754,620.401786303554,694,-73.5982136964462,-10.6049299274418
"237",3785,196.93073303914,"16-SEP-2014",0.905,0.768,634.771368443863,693,-58.2286315561372,-8.40239993595053
"238",3792,201.088495474218,"23-SEP-2014",0.889,0.74,613.031247591872,639,-25.9687524081281,-4.0639675130091
"239",3798,205.281632314362,"30-SEP-2014",0.943,0.735,601.071757364325,630,-28.9282426356747,-4.59178454534519
"240",3805,209.521330850452,"7-OCT-2014",1.037,0.763,614.165885453961,640,-25.8341145460392,-4.03658039781863
"241",3812,213.794355380853,"14-OCT-2014",1.19,0.763,588.588391035948,605,-16.4116089640518,-2.71266263868624
"242",3820,217.478479671157,"20-OCT-2014",1.75,0.697,453.97185509028,434,19.97185509028,4.60180992863595
"243",3826,222.441917614598,"28-OCT-2014",1.845,0.7,444.757524604007,441,3.7575246040069,0.852046395466418
"244",3834,228.03513754419,"6-NOV-2014",1.359,0.711,510.58647380578,505,5.58647380577986,1.10623243678809
"245",3839,231.191070434747,"11-NOV-2014",1.474,0.713,494.922789864901,516,-21.0772101350987,-4.08473064633696
"246",3846,236.212882991481,"19-NOV-2014",1.467,0.674,458.905749783706,494,-35.0942502162944,-7.1040992340677
"247",3850,240.648621359285,"26-NOV-2014",1.458,0.651,437.243250824085,469,-31.7567491759153,-6.77116187119729
"248",3859,243.828788198757,"1-DEC-2014",1.376,0.638,433.594690449417,468,-34.405309550583,-7.35156186978268
"249",3867,248.887561161527,"9-DEC-2014",1.215,0.659,469.292900207705,500,-30.707099792295,-6.14141995845901
"250",3874,253.976963649469,"17-DEC-2014",1.189,0.646,457.399497868316,494,-36.6005021316845,-7.40900852868107
"251",3894,266.643368455422,"6-JAN-2015",1.041,0.631,455.869829918597,438,17.8698299185971,4.07986984442857
"252",3901,271.052661859604,"13-JAN-2015",1.056,0.606,428.432191245455,395,33.4321912454548,8.46384588492527
"253",3914,279.808169496267,"27-JAN-2015",0.891,0.636,475.941059082183,534,-58.0589409178172,-10.8724608460332
"254",3921,284.127418638678,"3-FEB-2015",0.949,0.632,461.982568580804,484,-22.0174314191959,-4.54905607834625
"255",3927,287.840004696341,"9-FEB-2015",0.824,0.606,453.7730905522,479,-25.2269094477996,-5.2665781728183
"256",3936,293.306193291771,"18-FEB-2015",0.816,0.695,539.975127445414,559,-19.0248725545856,-3.40337612783285
"257",3943,298.150661011555,"26-FEB-2015",0.734,0.674,531.440604209191,559,-27.5593957908088,-4.9301244706277
"258",3948,301.134780790673,"3-MAR-2015",0.708,0.687,547.755308265249,545,2.75530826524948,0.505561149587061
"259",3956,305.887943083879,"11-MAR-2015",0.658,0.725,593.101691991409,577,16.1016919914094,2.7905878667954
"260",3962,309.408338001527,"17-MAR-2015",0.759,0.74,587.32219292316,607,-19.6778070768402,-3.24181335697532
"261",3969,313.479016543617,"24-MAR-2015",0.678,0.717,577.046859038641,610,-32.9531409613588,-5.40215425596046
"262",3975,316.920924539906,"30-MAR-2015",1.01,0.744,543.887389042854,562,-18.112610957146,-3.22288451194769
"263",3989,325.399240901299,"14-APR-2015",0.813,0.714,542.237497012953,561,-18.7625029870472,-3.34447468574817
"264",3998,330.40092160586,"23-APR-2015",0.766,0.731,561.616957298305,620,-58.3830427016953,-9.41661979059602
"265",4003,333.115866099633,"28-APR-2015",1.395,0.83,545.73191362745,526,19.7319136274496,3.75131437784212
"266",4010,336.934666663822,"5-MAY-2015",1.333,0.729,469.978946357431,508,-38.0210536425693,-7.48445937845851
"267",4016,340.65346397883,"12-MAY-2015",1.146,0.734,494.757015490671,526,-31.2429845093293,-5.93973089530975
"268",4023,344.369558097529,"19-MAY-2015",1.105,0.727,489.989949660382,536,-46.0100503396175,-8.58396461560028
"269",4028,346.969542145722,"24-MAY-2015",0.962,0.728,507.569393682431,558,-50.4306063175694,-9.03774306766476
"270",4037,351.63195669133,"2-JUN-2015",0.952,0.688,467.763989660003,500,-32.2360103399966,-6.44720206799932
"271",4055,361.211579133896,"21-JUN-2015",0.797,0.644,435.538613956806,477,-41.4613860431942,-8.6921144744642
"272",4064,365.682826691394,"30-JUN-2015",0.725,0.628,423.587751663348,465,-41.4122483366518,-8.90585985734447
"273",4079,12.9634594746321,"15-JUL-2015",0.634,0.612,408.943759540478,421,-12.0562404595225,-2.86371507352078
"274",4084,15.3393846454362,"20-JUL-2015",0.645,0.607,399.234446531126,432,-32.7655534688737,-7.58461885853558
"275",4092,19.6124447534702,"29-JUL-2015",0.695,0.611,389.31211521941,424,-34.6878847805895,-8.18110490108243
"276",4098,22.4229165580673,"4-AUG-2015",0.639,0.614,393.785131573723,431,-37.2148684262768,-8.63454023811527
"277",4105,25.6795744971861,"11-AUG-2015",0.736,0.608,371.904303540394,420,-48.0956964596058,-11.4513562999062
"278",4112,28.9082126921334,"18-AUG-2015",0.65,0.597,367.702214329985,416,-48.2977856700152,-11.6100446322152
"279",4119,32.1231943326639,"25-AUG-2015",0.652,0.59,356.766196741456,404,-47.2338032585441,-11.6915354600357
"280",4125,35.2907846945587,"1-SEP-2015",0.668,0.582,343.873008656863,384,-40.1269913431374,-10.449737328942
"281",4133,38.9265764163501,"9-SEP-2015",0.631,0.562,327.0802141304,356,-28.9197858695995,-8.12353535662908
"282",4139,41.5974682394783,"15-SEP-2015",0.585,0.552,320.561372720112,345,-24.4386272798881,-7.08366008112699
"283",4146,44.743928941884,"22-SEP-2015",0.539,0.569,334.727215230489,335,-0.272784769510508,-0.0814282894061219
"284",4153,47.8461760836895,"29-SEP-2015",0.555,0.557,319.832661868077,352,-32.1673381319231,-9.13844833293271
"285",4161,51.3959472162823,"7-OCT-2015",0.553,0.569,325.127612083751,327,-1.87238791624941,-0.572595693042633
"286",4166,54.0424988772008,"13-OCT-2015",0.557,0.577,327.842374292768,325,2.84237429276754,0.874576705466937
"287",4173,57.115810295565,"20-OCT-2015",0.522,0.568,321.811587464831,337,-15.188412535169,-4.50694733981276
"288",4180,60.1920822801635,"27-OCT-2015",0.539,0.576,323.138860239923,332,-8.86113976007709,-2.66901800002322
"289",4187,63.2554891306345,"3-NOV-2015",0.472,0.574,326.657863347655,344,-17.3421366523447,-5.04131879428626
"290",4193,65.8797542981794,"9-NOV-2015",0.511,0.609,346.359655197467,359,-12.6403448025333,-3.52098741017641
"291",4201,69.8107552408939,"18-NOV-2015",0.494,0.612,348.193482543737,376,-27.8065174562629,-7.39535038730396
"292",4214,75.4784284616317,"1-DEC-2015",0.544,0.643,362.298480451962,387,-24.7015195480377,-6.38282158864024
"293",4221,78.5415495594426,"8-DEC-2015",0.438,0.66,388.129015041018,407,-18.870984958982,-4.63660564102753
"294",4221,78.5415495594426,"8-DEC-2015",0.43,0.66,389.23634272781,419,-29.7636572721901,-7.10349815565397
"295",4246,89.9556689236607,"3-JAN-2016",0.414,0.658,392.17083614872,449,-56.8291638512796,-12.6568293655411
"296",4255,93.9319839583123,"12-JAN-2016",0.446,0.666,396.252535754543,452,-55.7474642454569,-12.3335097888179
"297",4262,97.0426740466342,"19-JAN-2016",0.471,0.67,398.371393074699,454,-55.628606925301,-12.2529971201104
"298",4268,99.7284703946746,"25-JAN-2016",0.478,0.691,415.995099837521,469,-53.004900162479,-11.3016844696117
"299",4275,103.317623039021,"2-FEB-2016",0.459,0.683,417.107089343181,498,-80.8929106568194,-16.243556356791
"300",4282,106.482350542608,"9-FEB-2016",0.443,0.675,417.723464657155,493,-75.2765353428451,-15.2690741060538
"301",4289,109.672890427812,"16-FEB-2016",0.433,0.677,425.83560206253,506,-80.1643979374704,-15.8427663908044
"302",4296,112.86322512264,"23-FEB-2016",0.409,0.707,459.462682152192,543,-83.5373178478079,-15.3844047601856
"303",4303,116.112037455892,"1-MAR-2016",0.429,0.736,486.524473632206,585,-98.4755263677936,-16.8334233107339
"304",4310,119.812448601812,"9-MAR-2016",0.431,0.716,478.071408601489,548,-69.9285913985105,-12.7606918610421
"305",4316,122.644225484394,"15-MAR-2016",0.524,0.76,505.496544404927,559,-53.5034555950726,-9.57128007067489
"306",4323,125.941655994145,"22-MAR-2016",0.423,0.764,535.722510001812,576,-40.277489998188,-6.99261979135208
"307",4337,132.662470705218,"5-APR-2016",0.47,0.817,593.035539161872,650,-56.9644608381277,-8.7637632058658
"308",4343,135.58950008269,"11-APR-2016",0.459,0.785,576.265668003621,617,-40.7343319963788,-6.60199870281667
"309",4350,139.516749467298,"19-APR-2016",0.461,0.762,567.528432102145,635,-67.4715678978548,-10.6254437634417
"310",4357,143.016262259577,"26-APR-2016",0.541,0.764,565.442566142448,618,-52.5574338575518,-8.50443913552618
"311",4364,146.012283873049,"2-MAY-2016",0.508,0.774,590.481238755142,645,-54.5187612448575,-8.45252112323372
"312",4371,150.109057417714,"10-MAY-2016",0.458,0.752,592.378643263137,653,-60.6213567368626,-9.2835155799177
"313",4377,153.177612111703,"16-MAY-2016",0.542,0.77,603.309277966452,672,-68.6907220335482,-10.2218336359447
"314",4384,157.360697375532,"24-MAY-2016",0.605,0.756,590.991539906798,636,-45.0084600932022,-7.07680190144688
"315",4391,161.048583295178,"31-MAY-2016",0.566,0.738,591.581371226987,643,-51.4186287730131,-7.99667632550748
"316",4398,164.785787188604,"7-JUN-2016",0.597,0.735,593.447063396816,637,-43.5529366031843,-6.83719569908702
"317",4405,168.572004999479,"14-JUN-2016",0.645,0.752,611.877480999046,658,-46.1225190009535,-7.00950136792606
"318",4412,172.399708600896,"21-JUN-2016",0.614,0.721,595.938786159081,644,-48.0612138409193,-7.46292140386946
"319",4425,180.205715537294,"5-JUL-2016",0.551,0.718,622.268630067664,644,-21.7313699323363,-3.37443632489694
"320",4439,188.195515011477,"19-JUL-2016",0.639,0.715,617.189960165822,635,-17.8100398341785,-2.80473068254779
"321",4445,191.652174895613,"25-JUL-2016",0.599,0.67,580.659462391837,605,-24.3405376081632,-4.0232293567212
"322",4451,195.173490985314,"31-JUL-2016",0.671,0.67,572.286064900413,592,-19.7139350995867,-3.33005660465992
"323",4457,199.316042081998,"7-AUG-2016",0.706,0.677,577.8431024498,607,-29.1568975502004,-4.80344275950583
"324",4465,204.092335606522,"15-AUG-2016",0.638,0.654,568.101993745756,588,-19.8980062542439,-3.3840146690891
"325",4473,208.92884108559,"23-AUG-2016",0.727,0.71,615.689197563135,582,33.6891975631348,5.7885219180644
"326",4480,213.198227099118,"30-AUG-2016",1.079,0.693,538.983635610449,453,85.9836356104487,18.9809350133441
"327",4486,216.878757896154,"5-SEP-2016",0.957,0.675,540.138802581822,476,64.1388025818216,13.4745383575255
"328",4493,221.83740115154,"13-SEP-2016",0.889,0.698,573.99027984197,515,58.9902798419702,11.4544232702855
"329",4500,226.182576643529,"20-SEP-2016",0.845,0.693,574.908128307756,520,54.9081283077563,10.5592554437993
"330",4506,229.950025397639,"26-SEP-2016",0.892,0.701,573.054635581294,474,99.0546355812941,20.897602443311
